,Geography,Year,Sex,Activity Category,Prevalence_x,Coefficient of Variation_x,CV Flag_x,Standard Error_x,Standard Score_x,Alberta Prevalence_x,Category,Prevalence_y,Coefficient of Variation_y,CV Flag_y,Standard Error_y,Standard Score_y,Alberta Prevalence_y,Stress Category,Prevalence,Coefficient of Variation,CV Flag,Standard Error,Standard Score,Alberta Prevalence
0,Z1,2003,BOTH,Active or moderately active,54.233,3.478,1.0,1.7853,-1.054212121,56.114996258000005,Excellent or Very Good,70.77,2.1439,1.0,1.4625,-2.2565632640000004,74.07016520100001,Extremely/quite a bit stressful,21.223700000000004,6.5662,1.0,1.3687,-1.5516646269999999,23.347532728
1,Z1,2003,BOTH,Active or moderately active,54.233,3.478,1.0,1.7853,-1.054212121,56.114996258000005,Excellent or Very Good,70.77,2.1439,1.0,1.4625,-2.2565632640000004,74.07016520100001,Not at all/not very/a bit stressful,78.7763,1.7808000000000002,1.0,1.3687,1.5516646274,76.65246727200002
2,Z1,2003,BOTH,Active or moderately active,54.233,3.478,1.0,1.7853,-1.054212121,56.114996258000005,Poor Fair or Good,29.230000000000004,5.0393,1.0,1.4625,2.2565632639000004,25.929834799,Extremely/quite a bit stressful,21.223700000000004,6.5662,1.0,1.3687,-1.5516646269999999,23.347532728
3,Z1,2003,BOTH,Active or moderately active,54.233,3.478,1.0,1.7853,-1.054212121,56.114996258000005,Poor Fair or Good,29.230000000000004,5.0393,1.0,1.4625,2.2565632639000004,25.929834799,Not at all/not very/a bit stressful,78.7763,1.7808000000000002,1.0,1.3687,1.5516646274,76.65246727200002
4,Z1,2003,BOTH,Inactive,45.766999999999996,3.8096,1.0,1.7853,1.054212121,43.885003741999995,Excellent or Very Good,70.77,2.1439,1.0,1.4625,-2.2565632640000004,74.07016520100001,Extremely/quite a bit stressful,21.223700000000004,6.5662,1.0,1.3687,-1.5516646269999999,23.347532728
5,Z1,2003,BOTH,Inactive,45.766999999999996,3.8096,1.0,1.7853,1.054212121,43.885003741999995,Excellent or Very Good,70.77,2.1439,1.0,1.4625,-2.2565632640000004,74.07016520100001,Not at all/not very/a bit stressful,78.7763,1.7808000000000002,1.0,1.3687,1.5516646274,76.65246727200002
6,Z1,2003,BOTH,Inactive,45.766999999999996,3.8096,1.0,1.7853,1.054212121,43.885003741999995,Poor Fair or Good,29.230000000000004,5.0393,1.0,1.4625,2.2565632639000004,25.929834799,Extremely/quite a bit stressful,21.223700000000004,6.5662,1.0,1.3687,-1.5516646269999999,23.347532728
7,Z1,2003,BOTH,Inactive,45.766999999999996,3.8096,1.0,1.7853,1.054212121,43.885003741999995,Poor Fair or Good,29.230000000000004,5.0393,1.0,1.4625,2.2565632639000004,25.929834799,Not at all/not very/a bit stressful,78.7763,1.7808000000000002,1.0,1.3687,1.5516646274,76.65246727200002
8,Z1,2003,FEMALE,Active or moderately active,55.45630000000001,4.0085,1.0,2.2212,0.29044786100000003,54.811186484,Excellent or Very Good,68.5059,2.8677,1.0,1.9678,-2.3343641620000004,73.099412736,Extremely/quite a bit stressful,21.0417,10.164,1.0,2.134,-1.578185788,24.409467361999997
9,Z1,2003,FEMALE,Active or moderately active,55.45630000000001,4.0085,1.0,2.2212,0.29044786100000003,54.811186484,Excellent or Very Good,68.5059,2.8677,1.0,1.9678,-2.3343641620000004,73.099412736,Not at all/not very/a bit stressful,78.95830000000002,2.9109000000000003,1.0,2.134,1.5781857883000001,75.590532638
10,Z1,2003,FEMALE,Active or moderately active,55.45630000000001,4.0085,1.0,2.2212,0.29044786100000003,54.811186484,Poor Fair or Good,31.494100000000003,6.2862,1.0,1.9678,2.3343641617000004,26.900587264000002,Extremely/quite a bit stressful,21.0417,10.164,1.0,2.134,-1.578185788,24.409467361999997
11,Z1,2003,FEMALE,Active or moderately active,55.45630000000001,4.0085,1.0,2.2212,0.29044786100000003,54.811186484,Poor Fair or Good,31.494100000000003,6.2862,1.0,1.9678,2.3343641617000004,26.900587264000002,Not at all/not very/a bit stressful,78.95830000000002,2.9109000000000003,1.0,2.134,1.5781857883000001,75.590532638
12,Z1,2003,FEMALE,Inactive,44.5437,5.0167,1.0,2.2212,-0.29044786100000003,45.188813516,Excellent or Very Good,68.5059,2.8677,1.0,1.9678,-2.3343641620000004,73.099412736,Extremely/quite a bit stressful,21.0417,10.164,1.0,2.134,-1.578185788,24.409467361999997
13,Z1,2003,FEMALE,Inactive,44.5437,5.0167,1.0,2.2212,-0.29044786100000003,45.188813516,Excellent or Very Good,68.5059,2.8677,1.0,1.9678,-2.3343641620000004,73.099412736,Not at all/not very/a bit stressful,78.95830000000002,2.9109000000000003,1.0,2.134,1.5781857883000001,75.590532638
14,Z1,2003,FEMALE,Inactive,44.5437,5.0167,1.0,2.2212,-0.29044786100000003,45.188813516,Poor Fair or Good,31.494100000000003,6.2862,1.0,1.9678,2.3343641617000004,26.900587264000002,Extremely/quite a bit stressful,21.0417,10.164,1.0,2.134,-1.578185788,24.409467361999997
15,Z1,2003,FEMALE,Inactive,44.5437,5.0167,1.0,2.2212,-0.29044786100000003,45.188813516,Poor Fair or Good,31.494100000000003,6.2862,1.0,1.9678,2.3343641617000004,26.900587264000002,Not at all/not very/a bit stressful,78.95830000000002,2.9109000000000003,1.0,2.134,1.5781857883000001,75.590532638
16,Z1,2003,MALE,Active or moderately active,52.99330000000001,5.1861000000000015,1.0,2.5294,-1.7463549390000002,57.410429063,Excellent or Very Good,73.0613,3.2553,1.0,2.1932,-0.901815583,75.039116922,Extremely/quite a bit stressful,21.4019,9.0508,1.0,1.9372,-0.461373291,22.295685922000004
17,Z1,2003,MALE,Active or moderately active,52.99330000000001,5.1861000000000015,1.0,2.5294,-1.7463549390000002,57.410429063,Excellent or Very Good,73.0613,3.2553,1.0,2.1932,-0.901815583,75.039116922,Not at all/not very/a bit stressful,78.5981,2.694,1.0,1.9372,0.4613732914000001,77.704314078
18,Z1,2003,MALE,Active or moderately active,52.99330000000001,5.1861000000000015,1.0,2.5294,-1.7463549390000002,57.410429063,Poor Fair or Good,26.9387,8.1592,1.0,2.1932,0.9018155827,24.960883078000002,Extremely/quite a bit stressful,21.4019,9.0508,1.0,1.9372,-0.461373291,22.295685922000004
19,Z1,2003,MALE,Active or moderately active,52.99330000000001,5.1861000000000015,1.0,2.5294,-1.7463549390000002,57.410429063,Poor Fair or Good,26.9387,8.1592,1.0,2.1932,0.9018155827,24.960883078000002,Not at all/not very/a bit stressful,78.5981,2.694,1.0,1.9372,0.4613732914000001,77.704314078
20,Z1,2003,MALE,Inactive,47.0067,5.215,1.0,2.5294,1.7463549388,42.589570937,Excellent or Very Good,73.0613,3.2553,1.0,2.1932,-0.901815583,75.039116922,Extremely/quite a bit stressful,21.4019,9.0508,1.0,1.9372,-0.461373291,22.295685922000004
21,Z1,2003,MALE,Inactive,47.0067,5.215,1.0,2.5294,1.7463549388,42.589570937,Excellent or Very Good,73.0613,3.2553,1.0,2.1932,-0.901815583,75.039116922,Not at all/not very/a bit stressful,78.5981,2.694,1.0,1.9372,0.4613732914000001,77.704314078
22,Z1,2003,MALE,Inactive,47.0067,5.215,1.0,2.5294,1.7463549388,42.589570937,Poor Fair or Good,26.9387,8.1592,1.0,2.1932,0.9018155827,24.960883078000002,Extremely/quite a bit stressful,21.4019,9.0508,1.0,1.9372,-0.461373291,22.295685922000004
23,Z1,2003,MALE,Inactive,47.0067,5.215,1.0,2.5294,1.7463549388,42.589570937,Poor Fair or Good,26.9387,8.1592,1.0,2.1932,0.9018155827,24.960883078000002,Not at all/not very/a bit stressful,78.5981,2.694,1.0,1.9372,0.4613732914000001,77.704314078
24,Z1,2005,BOTH,Active or moderately active,51.468300000000006,3.276,1.0,1.658,-2.056912354,54.87861464,Excellent or Very Good,74.0693,2.1562,1.0,1.5452,-0.32077112,74.565002695,Extremely/quite a bit stressful,19.8553,6.7899,1.0,1.3479,-1.843790817,22.340503477
25,Z1,2005,BOTH,Active or moderately active,51.468300000000006,3.276,1.0,1.658,-2.056912354,54.87861464,Excellent or Very Good,74.0693,2.1562,1.0,1.5452,-0.32077112,74.565002695,Not at all/not very/a bit stressful,80.14470000000001,1.819,1.0,1.3479,1.8437908171,77.65949652300002
26,Z1,2005,BOTH,Active or moderately active,51.468300000000006,3.276,1.0,1.658,-2.056912354,54.87861464,Poor Fair or Good,25.9307,5.9633,1.0,1.5452,0.32077112,25.434997305000003,Extremely/quite a bit stressful,19.8553,6.7899,1.0,1.3479,-1.843790817,22.340503477
27,Z1,2005,BOTH,Active or moderately active,51.468300000000006,3.276,1.0,1.658,-2.056912354,54.87861464,Poor Fair or Good,25.9307,5.9633,1.0,1.5452,0.32077112,25.434997305000003,Not at all/not very/a bit stressful,80.14470000000001,1.819,1.0,1.3479,1.8437908171,77.65949652300002
28,Z1,2005,BOTH,Inactive,48.5317,3.4153,1.0,1.658,2.0569123536,45.12138536,Excellent or Very Good,74.0693,2.1562,1.0,1.5452,-0.32077112,74.565002695,Extremely/quite a bit stressful,19.8553,6.7899,1.0,1.3479,-1.843790817,22.340503477
29,Z1,2005,BOTH,Inactive,48.5317,3.4153,1.0,1.658,2.0569123536,45.12138536,Excellent or Very Good,74.0693,2.1562,1.0,1.5452,-0.32077112,74.565002695,Not at all/not very/a bit stressful,80.14470000000001,1.819,1.0,1.3479,1.8437908171,77.65949652300002
30,Z1,2005,BOTH,Inactive,48.5317,3.4153,1.0,1.658,2.0569123536,45.12138536,Poor Fair or Good,25.9307,5.9633,1.0,1.5452,0.32077112,25.434997305000003,Extremely/quite a bit stressful,19.8553,6.7899,1.0,1.3479,-1.843790817,22.340503477
31,Z1,2005,BOTH,Inactive,48.5317,3.4153,1.0,1.658,2.0569123536,45.12138536,Poor Fair or Good,25.9307,5.9633,1.0,1.5452,0.32077112,25.434997305000003,Not at all/not very/a bit stressful,80.14470000000001,1.819,1.0,1.3479,1.8437908171,77.65949652300002
32,Z1,2005,FEMALE,Active or moderately active,51.138000000000005,4.7515,1.0,2.3827000000000003,-2.062963559,56.053509963,Excellent or Very Good,71.6851,3.0568,1.0,2.1687000000000003,-1.030092121,73.91904208300001,Extremely/quite a bit stressful,17.7812,10.5781,1.0,1.8921,-2.09294366,21.741172553000002
33,Z1,2005,FEMALE,Active or moderately active,51.138000000000005,4.7515,1.0,2.3827000000000003,-2.062963559,56.053509963,Excellent or Very Good,71.6851,3.0568,1.0,2.1687000000000003,-1.030092121,73.91904208300001,Not at all/not very/a bit stressful,82.2188,2.6235,1.0,1.8921,2.0929436596,78.258827447
34,Z1,2005,FEMALE,Active or moderately active,51.138000000000005,4.7515,1.0,2.3827000000000003,-2.062963559,56.053509963,Poor Fair or Good,28.3149,7.7174,1.0,2.1687000000000003,1.0300921207,26.080957917,Extremely/quite a bit stressful,17.7812,10.5781,1.0,1.8921,-2.09294366,21.741172553000002
35,Z1,2005,FEMALE,Active or moderately active,51.138000000000005,4.7515,1.0,2.3827000000000003,-2.062963559,56.053509963,Poor Fair or Good,28.3149,7.7174,1.0,2.1687000000000003,1.0300921207,26.080957917,Not at all/not very/a bit stressful,82.2188,2.6235,1.0,1.8921,2.0929436596,78.258827447
36,Z1,2005,FEMALE,Inactive,48.861999999999995,4.860900000000001,1.0,2.3827000000000003,2.0629635587,43.946490037,Excellent or Very Good,71.6851,3.0568,1.0,2.1687000000000003,-1.030092121,73.91904208300001,Extremely/quite a bit stressful,17.7812,10.5781,1.0,1.8921,-2.09294366,21.741172553000002
37,Z1,2005,FEMALE,Inactive,48.861999999999995,4.860900000000001,1.0,2.3827000000000003,2.0629635587,43.946490037,Excellent or Very Good,71.6851,3.0568,1.0,2.1687000000000003,-1.030092121,73.91904208300001,Not at all/not very/a bit stressful,82.2188,2.6235,1.0,1.8921,2.0929436596,78.258827447
38,Z1,2005,FEMALE,Inactive,48.861999999999995,4.860900000000001,1.0,2.3827000000000003,2.0629635587,43.946490037,Poor Fair or Good,28.3149,7.7174,1.0,2.1687000000000003,1.0300921207,26.080957917,Extremely/quite a bit stressful,17.7812,10.5781,1.0,1.8921,-2.09294366,21.741172553000002
39,Z1,2005,FEMALE,Inactive,48.861999999999995,4.860900000000001,1.0,2.3827000000000003,2.0629635587,43.946490037,Poor Fair or Good,28.3149,7.7174,1.0,2.1687000000000003,1.0300921207,26.080957917,Not at all/not very/a bit stressful,82.2188,2.6235,1.0,1.8921,2.0929436596,78.258827447
40,Z1,2005,MALE,Active or moderately active,51.7978,4.4321,1.0,2.2931000000000004,-0.8350564020000001,53.712677301999996,Excellent or Very Good,76.45410000000003,2.8339999999999996,1.0,2.0466,0.6098168515000001,75.206086539,Extremely/quite a bit stressful,21.9205,8.303600000000001,1.0,1.8186,-0.559023803,22.937111667000003
41,Z1,2005,MALE,Active or moderately active,51.7978,4.4321,1.0,2.2931000000000004,-0.8350564020000001,53.712677301999996,Excellent or Very Good,76.45410000000003,2.8339999999999996,1.0,2.0466,0.6098168515000001,75.206086539,Not at all/not very/a bit stressful,78.0795,2.4797,1.0,1.8186,0.5590238028,77.062888333
42,Z1,2005,MALE,Active or moderately active,51.7978,4.4321,1.0,2.2931000000000004,-0.8350564020000001,53.712677301999996,Poor Fair or Good,23.5459,8.651299999999999,1.0,2.0466,-0.609816851,24.793913461,Extremely/quite a bit stressful,21.9205,8.303600000000001,1.0,1.8186,-0.559023803,22.937111667000003
43,Z1,2005,MALE,Active or moderately active,51.7978,4.4321,1.0,2.2931000000000004,-0.8350564020000001,53.712677301999996,Poor Fair or Good,23.5459,8.651299999999999,1.0,2.0466,-0.609816851,24.793913461,Not at all/not very/a bit stressful,78.0795,2.4797,1.0,1.8186,0.5590238028,77.062888333
44,Z1,2005,MALE,Inactive,48.20220000000001,4.8115000000000006,1.0,2.2931000000000004,0.8350564023,46.287322698000004,Excellent or Very Good,76.45410000000003,2.8339999999999996,1.0,2.0466,0.6098168515000001,75.206086539,Extremely/quite a bit stressful,21.9205,8.303600000000001,1.0,1.8186,-0.559023803,22.937111667000003
45,Z1,2005,MALE,Inactive,48.20220000000001,4.8115000000000006,1.0,2.2931000000000004,0.8350564023,46.287322698000004,Excellent or Very Good,76.45410000000003,2.8339999999999996,1.0,2.0466,0.6098168515000001,75.206086539,Not at all/not very/a bit stressful,78.0795,2.4797,1.0,1.8186,0.5590238028,77.062888333
