"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Canadian health characteristics, two-year period estimates, census metropolitan areas and population centres",13100805,105-0593,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310080501",1;2;3;4;5;6;49;50,"CURRENT - a cube available to the public and that is current",Occasional,2015-01-01,2015-01-01,5

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,3;4;5;6,
2,"Age group",,
3,Sex,,
4,Indicators,,
5,Characteristics,41;42;43;44;45;46;47,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
1,"Newfoundland and Labrador",[10],2,1,,,
1,"Large urban population, Newfoundland and Labrador",,3,2,,,
1,"Medium population centres, Newfoundland and Labrador",,4,2,,,
1,"Small population centres, Newfoundland and Labrador",,5,2,,,
1,"Rural areas, Newfoundland and Labrador",,6,2,,,
1,"Prince Edward Island",[11],7,1,,,
1,"Medium population centres, Prince Edward Island",,8,7,,,
1,"Small population centres, Prince Edward Island",,9,7,,,
1,"Rural areas, Prince Edward Island",,10,7,,,
1,"Nova Scotia",[12],11,1,,,
1,"Large urban population centres, Nova Scotia",,12,11,,,
1,"Medium population centres, Nova Scotia",,13,11,,,
1,"Small population centres, Nova Scotia",,14,11,,,
1,"Rural areas, Nova Scotia",,15,11,,,
1,"New Brunswick",[13],16,1,,,
1,"Large urban population centres, New Brunswick",,17,16,,,
1,"Medium population centres, New Brunswick",,18,16,,,
1,"Small population centres, New Brunswick",,19,16,,,
1,"Rural areas, New Brunswick",,20,16,,,
1,Quebec,[24],21,1,,,
1,"Large urban population centres, Quebec",,22,21,,,
1,"Medium population centres, Quebec",,23,21,,,
1,"Small population centres, Quebec",,24,21,,,
1,"Rural areas, Quebec",,25,21,,,
1,Ontario,[35],26,1,,,
1,"Large urban population centres, Ontario",,27,26,,,
1,"Medium population centres, Ontario",,28,26,,,
1,"Small population centres, Ontario",,29,26,,,
1,"Rural areas, Ontario",,30,26,,,
1,Manitoba,[46],31,1,,,
1,"Large urban population centres, Manitoba",,32,31,,,
1,"Medium population centres, Manitoba",,33,31,,,
1,"Small population centres, Manitoba",,34,31,,,
1,"Rural areas, Manitoba",,35,31,,,
