"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Risk of depression, by age group and sex, household population aged 12 and over, Canada, provinces, territories, health regions (January 2000 boundaries) and peer groups",13100553,105-0005,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310055301",1;2;3;8;9;22;70,"ARCHIVED -  a cube publicly available but no longer being updated","Every 2 years",2000-01-01,2000-01-01,5

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,4;8;9,
2,"Age group",,
3,Sex,,
4,"Risk level of depression",2;3,
5,Characteristics,4;5;6;7;21,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,00,1,,,,
1,"Newfoundland and Labrador",10,2,1,,10,
1,"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,3,2,,,
1,"Health and Community Services Eastern Region, Newfoundland and Labrador (Peer group D)",1002,4,2,,,
1,"Health and Community Services Central Region, Newfoundland and Labrador (Peer group D)",1003,5,2,,,
1,"Health and Community Services Western Region, Newfoundland and Labrador (Peer group D)",1004,6,2,,,
1,"Grenfell Regional Health Services Board, Newfoundland and Labrador (Peer group D)",1005,7,2,,,
1,"Health Labrador Corporation, Newfoundland and Labrador (Peer group F)",1006,8,2,,,
1,"Prince Edward Island",11,9,1,,11;12,
1,"Urban Health Region, Prince Edward Island (Peer group I)",1101,10,9,,,
1,"Rural Health Region, Prince Edward Island (Peer group E)",1102,11,9,,,
1,"Nova Scotia",12,12,1,,13,
1,"Zone 1, Nova Scotia (Peer group E)",1201,13,12,,,
1,"Zone 2, Nova Scotia (Peer group E)",1202,14,12,,,
1,"Zone 3, Nova Scotia (Peer group H)",1203,15,12,,,
1,"Zone 4, Nova Scotia (Peer group H)",1204,16,12,,,
1,"Zone 5, Nova Scotia (Peer group D)",1205,17,12,,,
1,"Zone 6, Nova Scotia (Peer group I)",1206,18,12,,,
1,"New Brunswick",13,19,1,,,
1,"Region 1, New Brunswick (Peer group I)",1301,20,19,,,
1,"Region 2, New Brunswick (Peer group H)",1302,21,19,,,
1,"Region 3, New Brunswick (Peer group I)",1303,22,19,,,
1,"Region 4, New Brunswick (Peer group H)",1304,23,19,,,
1,"Region 5, New Brunswick (Peer group D)",1305,24,19,,,
1,"Region 6, New Brunswick (Peer group D)",1306,25,19,,,
1,"Region 7, New Brunswick (Peer group D)",1307,26,19,,,
1,Québec,24,27,1,,,
1,"Région du Bas-Saint-Laurent, Québec (Peer group H)",2401,28,27,,,
1,"Région du Saguenay-Lac-Saint-Jean, Québec (Peer group H)",2402,29,27,,,
1,"Région de Québec, Québec (Peer group H)",2403,30,27,,,
1,"Région de la Mauricie et Centre-du-Québec, Québec (Peer group H)",2404,31,27,,,
1,"Région de l'Estrie, Québec (Peer group H)",2405,32,27,,,
1,"Région de Montréal-Centre, Québec (Peer group A)",2406,33,27,,,
1,"Région de l'Outaouais, Québec (Peer group H)",2407,34,27,,,
1,"Région de l'Abitibi-Témiscamingue, Québec (Peer group H)",2408,35,27,,,
1,"Région de la Côte-Nord, Québec (Peer group H)",2409,36,27,,,
1,"Région du Nord-du-Québec, Québec (Peer group F)",2410,37,27,,,
1,"Région de la Gaspésie-Îles-de-la-Madeleine, Québec (Peer group D)",2411,38,27,,,
1,"Région de la Chaudière-Appalaches, Québec (Peer group H)",2412,39,27,,,
1,"Région de Laval, Québec (Peer group I)",2413,40,27,,,
1,"Région de Lanaudière, Québec (Peer group I)",2414,41,27,,,
1,"Région des Laurentides, Québec (Peer group H)",2415,42,27,,,
1,"Région de la Montérégie, Québec (Peer group H)",2416,43,27,,,
1,"Région du Nunavik, Québec (Peer group C)",2417,44,27,,,
1,"Région des Terres-Cries-de-la-Baie-James, Québec (Peer group C)",2418,45,27,,,
1,"Ontario by District Health Council",35,46,1,,14,
1,"Champlain District Health Council, Ontario",3501,47,46,,,
1,"Quinte-Kingston and Rideau District Health Council, Ontario",3502,48,46,,,
1,"Durham-Haliburton-Kawartha and Pine Ridge District Health Council, Ontario",3503,49,46,,,
1,"Toronto District Health Council, Ontario",3504,50,46,,,
1,"Simcoe-York District Health Council, Ontario",3505,51,46,,,
1,"Halton-Peel District Health Council, Ontario",3506,52,46,,,
1,"Waterloo-Wellington-Dufferin District Health Council, Ontario",3507,53,46,,,
1,"Hamilton-Wentworth District Health Council, Ontario",3508,54,46,,,
1,"Niagara District Health Council, Ontario",3509,55,46,,,
1,"Grand River District Health Council, Ontario",3510,56,46,,,
1,"Thames Valley District Health Council, Ontario",3511,57,46,,,
1,"Essex-Kent and Lambton District Health Council, Ontario",3512,58,46,,,
1,"Grey-Bruce-Huron and Perth District Health Council, Ontario",3513,59,46,,,
1,"Muskoka-Nipissing and Parry Sound District Health Council, Ontario",3514,60,46,,,
1,"Algoma-Cochrane-Manitoulin and Sudbury District Health Council, Ontario",3515,61,46,,,
1,"Northwestern Ontario District Health Council, Ontario",3516,62,46,,,
1,"Ontario by Health Unit",35,63,1,,4;14,
1,"Algoma Public Health Unit, Ontario (Peer group H)",3526,64,63,,,
1,"Brant Public Health Unit, Ontario (Peer group I)",3527,65,63,,4,
1,"Durham Public Health Unit, Ontario (Peer group J)",3530,66,63,,,
1,"Elgin-St Thomas Public Health Unit, Ontario (Peer group I)",3531,67,63,,,
1,"Bruce-Grey-Owen Sound Public Health Unit, Ontario (Peer group I)",3533,68,63,,,
1,"Haldimand-Norfolk Public Health Unit, Ontario (Peer group I)",3534,69,63,,,
1,"Haliburton-Kawartha-Pine Ridge Public Health Unit, Ontario (Peer group I)",3535,70,63,,,
1,"Halton Public Health Unit, Ontario (Peer group J)",3536,71,63,,,
1,"Hamilton Public Health Unit, Ontario (Peer group H)",3537,72,63,,,
1,"Hastings and Prince Edward Public Health Unit, Ontario (Peer group I)",3538,73,63,,,
1,"Huron Public Health Unit, Ontario (Peer group G)",3539,74,63,,,
1,"Kent-Chatham Public Health Unit, Ontario (Peer group I)",3540,75,63,,,
1,"Kingston-Frontenac-Lennox and Addington Public Health Unit, Ontario (Peer group I)",3541,76,63,,,
1,"Lambton Public Health Unit, Ontario (Peer group I)",3542,77,63,,,
1,"Leeds-Grenville-Lanark Public Health Unit, Ontario (Peer group I)",3543,78,63,,,
1,"Middlesex-London Public Health Unit, Ontario (Peer group I)",3544,79,63,,,
1,"Muskoka-Parry Sound Public Health Unit, Ontario (Peer group E)",3545,80,63,,,
1,"Niagara Public Health Unit, Ontario (Peer group I)",3546,81,63,,,
1,"North Bay Public Health Unit, Ontario (Peer group H)",3547,82,63,,,
1,"Northwestern Public Health Unit, Ontario (Peer group G)",3549,83,63,,,
1,"Ottawa Public Health Unit, Ontario (Peer group B)",3551,84,63,,,
1,"Oxford Public Health Unit, Ontario (Peer group I)",3552,85,63,,,
1,"Peel Public Health Unit, Ontario (Peer group B)",3553,86,63,,,
1,"Perth Public Health Unit, Ontario (Peer group G)",3554,87,63,,,
1,"Peterborough Public Health Unit, Ontario (Peer group I)",3555,88,63,,,
1,"Porcupine Public Health Unit, Ontario (Peer group H)",3556,89,63,,,
1,"Renfrew Public Health Unit, Ontario (Peer group G)",3557,90,63,,,
1,"Eastern Ontario Public Health Unit, Ontario (Peer group I)",3558,91,63,,,
1,"Simcoe Public Health Unit, Ontario (Peer group J)",3560,92,63,,,
1,"Sudbury Public Health Unit, Ontario (Peer group H)",3561,93,63,,,
1,"Thunder Bay Public Health Unit, Ontario (Peer group I)",3562,94,63,,,
1,"Timiskaming Public Health Unit, Ontario (Peer group E)",3563,95,63,,,
1,"Waterloo Public Health Unit, Ontario (Peer group I)",3565,96,63,,,
1,"Wellington-Dufferin-Guelph Public Health Unit, Ontario (Peer group J)",3566,97,63,,,
1,"Windsor-Essex Public Health Unit, Ontario (Peer group I)",3568,98,63,,,
1,"York Public Health Unit, Ontario (Peer group B)",3570,99,63,,,
1,"Toronto Public Health Unit, Ontario (Peer group A)",3595,100,63,,,
1,Manitoba,46,101,1,,,
1,"Winnipeg, Manitoba (Peer group H)",4610,102,101,,,
1,"Brandon, Manitoba (Peer group I)",4615,103,101,,,
1,"North Eastman, Manitoba (Peer group G)",4620,104,101,,,
1,"South Eastman, Manitoba (Peer group G)",4625,105,101,,,
1,"Interlake, Manitoba (Peer group G)",4630,106,101,,,
1,"Central, Manitoba (Peer group G)",4640,107,101,,,
1,"Marquette, Manitoba (Peer group E)",4650,108,101,,,
1,"South Westman, Manitoba (Peer group E)",4655,109,101,,,
1,"Parkland, Manitoba (Peer group E)",4660,110,101,,,
1,"Norman, Manitoba (Peer group F)",4670,111,101,,,
1,"Burntwood and Churchill, Manitoba (Peer group C)","4680, 4690",112,101,,15,
