"REF_DATE","GEO","DGUID","Age group","Sex","Satisfaction with life and with selected domains of life","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Life as a whole","Number","223","units ","0","v119128399","1.1.1.1","7.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Standard of living","Number","223","units ","0","v119128400","1.1.1.2","7.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Health","Number","223","units ","0","v119128401","1.1.1.3","7.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Achievement in life","Number","223","units ","0","v119128402","1.1.1.4","7.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Personal relationships","Number","223","units ","0","v119128403","1.1.1.5","7.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Personal appearance","Number","223","units ","0","v119128404","1.1.1.6","7.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Feelings of safety","Number","223","units ","0","v119128405","1.1.1.7","8.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Feeling part of the community","Number","223","units ","0","v119128406","1.1.1.8","7.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Free time","Number","223","units ","0","v119128407","1.1.1.9","6.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Quality of local environment","Number","223","units ","0","v119128408","1.1.1.10","8.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Life as a whole","Number","223","units ","0","v119128409","1.1.2.1","7.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Standard of living","Number","223","units ","0","v119128410","1.1.2.2","7.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Health","Number","223","units ","0","v119128411","1.1.2.3","7.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Achievement in life","Number","223","units ","0","v119128412","1.1.2.4","7.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Personal relationships","Number","223","units ","0","v119128413","1.1.2.5","7.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Personal appearance","Number","223","units ","0","v119128414","1.1.2.6","7.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Feelings of safety","Number","223","units ","0","v119128415","1.1.2.7","8.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Feeling part of the community","Number","223","units ","0","v119128416","1.1.2.8","7.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Free time","Number","223","units ","0","v119128417","1.1.2.9","6.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Males","Quality of local environment","Number","223","units ","0","v119128418","1.1.2.10","8.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Life as a whole","Number","223","units ","0","v119128419","1.1.3.1","7.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Standard of living","Number","223","units ","0","v119128420","1.1.3.2","7.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Health","Number","223","units ","0","v119128421","1.1.3.3","7.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Achievement in life","Number","223","units ","0","v119128422","1.1.3.4","7.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Personal relationships","Number","223","units ","0","v119128423","1.1.3.5","8.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Personal appearance","Number","223","units ","0","v119128424","1.1.3.6","7.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Feelings of safety","Number","223","units ","0","v119128425","1.1.3.7","8.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Feeling part of the community","Number","223","units ","0","v119128426","1.1.3.8","7.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Free time","Number","223","units ","0","v119128427","1.1.3.9","6.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Females","Quality of local environment","Number","223","units ","0","v119128428","1.1.3.10","8.1","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Life as a whole","Number","223","units ","0","v119128429","1.2.1.1","8.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Standard of living","Number","223","units ","0","v119128430","1.2.1.2","8.4","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Health","Number","223","units ","0","v119128431","1.2.1.3","7.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Achievement in life","Number","223","units ","0","v119128432","1.2.1.4","7.5","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Personal relationships","Number","223","units ","0","v119128433","1.2.1.5","7.8","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Personal appearance","Number","223","units ","0","v119128434","1.2.1.6","7.5","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Feelings of safety","Number","223","units ","0","v119128435","1.2.1.7","8.7","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Feeling part of the community","Number","223","units ","0","v119128436","1.2.1.8","7.5","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Free time","Number","223","units ","0","v119128437","1.2.1.9","6.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Quality of local environment","Number","223","units ","0","v119128438","1.2.1.10","8.2","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Life as a whole","Number","223","units ","0","v119128439","1.2.2.1","8.1","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Standard of living","Number","223","units ","0","v119128440","1.2.2.2","8.3","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Health","Number","223","units ","0","v119128441","1.2.2.3","8.1","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Achievement in life","Number","223","units ","0","v119128442","1.2.2.4","7.4","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Personal relationships","Number","223","units ","0","v119128443","1.2.2.5","7.7","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Personal appearance","Number","223","units ","0","v119128444","1.2.2.6","7.8","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Feelings of safety","Number","223","units ","0","v119128445","1.2.2.7","8.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Feeling part of the community","Number","223","units ","0","v119128446","1.2.2.8","7.6","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Free time","Number","223","units ","0","v119128447","1.2.2.9","7.2","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Males","Quality of local environment","Number","223","units ","0","v119128448","1.2.2.10","8.3","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Life as a whole","Number","223","units ","0","v119128449","1.2.3.1","7.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Standard of living","Number","223","units ","0","v119128450","1.2.3.2","8.4","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Health","Number","223","units ","0","v119128451","1.2.3.3","7.6","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Achievement in life","Number","223","units ","0","v119128452","1.2.3.4","7.6","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Personal relationships","Number","223","units ","0","v119128453","1.2.3.5","7.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Personal appearance","Number","223","units ","0","v119128454","1.2.3.6","7.2","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Feelings of safety","Number","223","units ","0","v119128455","1.2.3.7","8.5","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Feeling part of the community","Number","223","units ","0","v119128456","1.2.3.8","7.3","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Free time","Number","223","units ","0","v119128457","1.2.3.9","6.6","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Females","Quality of local environment","Number","223","units ","0","v119128458","1.2.3.10","8.1","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Life as a whole","Number","223","units ","0","v119128459","1.3.1.1","7.7","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Standard of living","Number","223","units ","0","v119128460","1.3.1.2","7.5","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Health","Number","223","units ","0","v119128461","1.3.1.3","7.4","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Achievement in life","Number","223","units ","0","v119128462","1.3.1.4","7.2","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Personal relationships","Number","223","units ","0","v119128463","1.3.1.5","7.8","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Personal appearance","Number","223","units ","0","v119128464","1.3.1.6","7.2","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Feelings of safety","Number","223","units ","0","v119128465","1.3.1.7","8.4","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Feeling part of the community","Number","223","units ","0","v119128466","1.3.1.8","7.2","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Free time","Number","223","units ","0","v119128467","1.3.1.9","6.2","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Both sexes","Quality of local environment","Number","223","units ","0","v119128468","1.3.1.10","8.0","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Life as a whole","Number","223","units ","0","v119128469","1.3.2.1","7.7","","","","1"
