REF_DATE,GEO,Age group,Sex,UOM_ID,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Current smoker, daily or occasional","Fruit and vegetable consumption, 5 times or more per day","Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
2015/2016,"Abbotsford-Mission, British Columbia","Total, 12 years and over",Both sexes,223,26020.4,26380.0,1760.0,14140.0,27620.0,83940.0,10800.0,56600.0,20840.0,60400.0,54020.0,4680.0,66560.2
2015/2016,"Abbotsford-Mission, British Columbia","Total, 12 years and over",Both sexes,239,33.300000000000004,33.36666666666667,25.8,15.4,31.433333333333337,92.73333333333335,11.866666666666665,60.23333333333333,22.833333333333332,66.39999999999999,63.53333333333333,69.89999999999999,74.00000000000001
2015/2016,Alberta,"Total, 12 years and over",Both sexes,223,636150.25,860550.25,43525.0,483250.0,739950.0,2392150.0,222275.0,1712575.25,554050.0,1896875.25,1424100.25,107025.0,1767875.0
2015/2016,Alberta,"Total, 12 years and over",Both sexes,239,27.7,37.43333333333333,26.099999999999998,18.400000000000002,30.0,93.3,8.466666666666667,65.16666666666667,21.2,73.7,59.70000000000001,61.06666666666666,69.5
2015/2016,Alberta,"Total, 12 years and over",Females,223,287975.0,344325.0,17100.0,202600.0,456500.0,1176800.0,146800.0,838750.25,280499.75,911175.25,656500.25,50875.25,883700.0
2015/2016,Alberta,"Total, 12 years and over",Females,239,26.099999999999998,31.3,21.099999999999998,15.666666666666666,37.4,93.06666666666668,11.333333333333334,64.8,21.833333333333332,71.8,55.86666666666667,60.53333333333333,70.36666666666666
2015/2016,Alberta,"Total, 12 years and over",Males,223,349375.0,516875.25,26450.0,280975.0,283450.0,1215250.0,75450.0,874150.25,273925.0,985225.25,767250.0,55900.0,885600.0
2015/2016,Alberta,"Total, 12 years and over",Males,239,29.133333333333336,43.1,31.066666666666666,21.03333333333333,22.7,93.56666666666668,5.666666666666667,65.53333333333335,20.6,75.46666666666667,63.43333333333334,61.46666666666667,68.66666666666667
2015/2016,"Brantford, Ontario","Total, 12 years and over",Both sexes,223,15740.0,21220.0,1600.0,15160.4,18020.0,62080.0,7800.4,42500.0,12340.0,46580.0,36220.0,3600.0,49160.2
2015/2016,"Brantford, Ontario","Total, 12 years and over",Both sexes,239,27.266666666666666,37.1,34.733333333333334,22.366666666666664,28.066666666666666,92.7,11.5,61.79999999999999,18.0,69.23333333333333,58.0,71.8,73.9
2015/2016,British Columbia,"Total, 12 years and over",Both sexes,223,559449.75,927600.0,42875.0,425049.75,865400.0,2689125.0,292275.25,1805474.75,594899.75,2025174.75,1801075.25,120575.25,2067800.25
2015/2016,British Columbia,"Total, 12 years and over",Both sexes,239,21.333333333333332,35.5,25.600000000000005,14.133333333333333,30.833333333333332,92.36666666666667,9.700000000000001,59.800000000000004,19.7,69.3,65.7,66.9,71.63333333333333
2015/2016,British Columbia,"Total, 12 years and over",Females,223,254324.75,379374.75,15525.0,171974.75,533750.0,1372050.0,189875.25,909950.0,323474.75,1008549.75,872825.25,53425.25,1077050.25
2015/2016,British Columbia,"Total, 12 years and over",Females,239,19.533333333333335,29.03333333333333,18.766666666666666,11.233333333333334,37.13333333333333,92.2,12.433333333333335,59.56666666666666,21.233333333333334,67.39999999999999,62.666666666666664,60.06666666666666,73.0
2015/2016,British Columbia,"Total, 12 years and over",Males,223,304824.75,548000.0,27300.0,253299.75,331325.0,1316375.0,102975.25,895024.75,270899.75,1017499.75,928525.25,66975.25,991300.25
2015/2016,British Columbia,"Total, 12 years and over",Males,239,23.166666666666668,41.833333333333336,32.6,17.166666666666668,24.2,92.46666666666665,6.933333333333334,60.0,18.2,71.23333333333333,68.8,73.36666666666667,70.2
2015/2016,"Calgary, Alberta","Total, 12 years and over",Both sexes,223,157979.8,247960.2,9480.0,101439.6,206140.0,672940.0,56540.0,513800.4,160380.0,543860.2,409140.2,27200.0,481520.0
2015/2016,"Calgary, Alberta","Total, 12 years and over",Both sexes,239,24.36666666666667,38.4,20.666666666666668,13.766666666666666,29.733333333333334,93.7,7.666666666666667,69.83333333333333,21.733333333333334,75.43333333333334,60.76666666666667,56.199999999999996,67.56666666666666
2015/2016,"Calgary, Alberta","Total, 12 years and over",Females,223,71880.0,96880.0,3219.8,44799.6,131740.0,331500.0,41220.0,254300.4,82040.0,260500.2,189460.0,14940.2,243760.0
2015/2016,"Calgary, Alberta","Total, 12 years and over",Females,239,23.266666666666666,31.466666666666665,13.6,12.4,38.699999999999996,93.76666666666667,11.4,70.23333333333333,22.599999999999998,73.46666666666667,57.06666666666666,62.76666666666667,69.13333333333334
2015/2016,"Calgary, Alberta","Total, 12 years and over",Males,223,85920.0,151500.2,6400.0,57159.6,74740.0,341600.0,15239.6,259180.4,78300.0,283120.2,219800.0,12419.8,238120.0
2015/2016,"Calgary, Alberta","Total, 12 years and over",Males,239,25.53333333333333,44.76666666666667,29.833333333333332,15.133333333333333,21.166666666666668,93.53333333333335,4.2,69.36666666666666,20.933333333333334,77.19999999999999,64.3,49.73333333333333,66.03333333333333
2015/2016,Canada,"Total, 12 years and over",Both sexes,223,6979866.666666667,9477800.0,466800.0,5289533.333333333,8837933.333333334,27400600.0,2496100.0,18784666.666666668,6539733.333333333,21233000.0,16054100.0,1163600.0,20046766.666666668
2015/2016,Canada,"Total, 12 years and over",Both sexes,239,26.333333333333332,35.8,25.7,17.366666666666664,30.766666666666666,92.86666666666667,8.166666666666666,61.5,21.5,71.6,57.70000000000001,59.800000000000004,68.4
2015/2016,Canada,"Total, 12 years and over",Females,223,3261733.3333333335,4055233.3333333335,189033.33333333334,2289800.0,5485433.333333333,13920600.0,1608033.3333333333,9399033.333333334,3579966.6666666665,10520633.333333334,7625500.0,492466.6666666667,10293700.0
2015/2016,Canada,"Total, 12 years and over",Females,239,24.7,30.76666666666667,21.433333333333334,14.800000000000002,37.4,92.73333333333335,10.4,60.800000000000004,23.2,69.66666666666667,53.9,52.666666666666664,69.03333333333335
2015/2016,Canada,"Total, 12 years and over",Males,223,3723166.6666666665,5419666.666666667,278600.0,3000300.0,3352000.0,13478500.0,889233.3333333334,9378100.0,2960466.6666666665,10717200.0,8426700.0,670066.6666666666,9756433.333333334
2015/2016,Canada,"Total, 12 years and over",Males,239,27.96666666666667,40.733333333333334,29.7,19.966666666666665,23.833333333333332,92.96666666666665,5.8999999999999995,62.199999999999996,19.7,73.66666666666667,61.6,66.36666666666667,67.76666666666667
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Both sexes,223,159200.0,236040.2,11020.0,132800.0,196840.0,632260.0,64800.0,449140.2,144180.0,498500.0,368040.0,26700.0,459540.0
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Both sexes,239,26.066666666666666,38.63333333333333,27.233333333333334,19.266666666666666,30.333333333333332,93.3,9.266666666666666,64.60000000000001,21.033333333333335,73.13333333333334,57.86666666666667,64.23333333333333,68.46666666666665
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Females,223,70900.0,90560.0,4700.0,51740.0,114420.0,310460.0,39100.0,215340.0,72420.0,235100.0,165240.0,11700.0,227460.0
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Females,239,24.066666666666666,31.0,25.466666666666665,15.166666666666666,35.53333333333334,92.66666666666667,11.333333333333334,62.73333333333333,21.566666666666666,69.83333333333333,52.699999999999996,61.56666666666666,68.46666666666667
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Males,223,88340.0,145580.2,6340.0,81220.2,82280.0,321760.0,25780.0,233720.2,71900.0,263380.2,202480.0,14940.0,232300.0
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Males,239,27.933333333333334,45.73333333333333,29.5,23.3,25.166666666666668,93.80000000000001,7.3999999999999995,66.33333333333334,20.566666666666666,76.33333333333333,62.86666666666667,66.03333333333333,68.43333333333334
2015/2016,"Greater Sudbury, Ontario","Total, 12 years and over",Both sexes,223,23860.4,25120.0,1420.0,19280.2,21380.0,73480.0,8940.0,49680.0,17360.0,53219.6,41400.0,3300.0,58040.0
2015/2016,"Greater Sudbury, Ontario","Total, 12 years and over",Both sexes,239,32.43333333333333,34.43333333333333,28.8,22.8,26.566666666666666,89.5,10.633333333333333,58.4,20.666666666666668,64.8,53.5,64.53333333333333,71.89999999999999
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,223,57320.0,68300.0,4480.0,37100.0,53199.8,196300.0,22060.2,138040.2,43480.0,147360.0,124100.4,8960.2,154480.2
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,239,29.666666666666668,35.233333333333334,35.5,17.099999999999998,25.26666666666667,92.16666666666667,10.200000000000001,63.63333333333333,19.900000000000002,69.06666666666668,61.4,69.16666666666667,73.10000000000001
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Females,223,26439.8,32200.0,2520.2,14799.8,34919.8,100760.0,14520.0,72300.0,24240.0,74020.0,60020.0,4360.2,82060.2
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Females,239,26.866666666666664,32.733333333333334,42.63333333333333,13.433333333333332,32.13333333333333,91.36666666666667,13.066666666666668,64.7,21.633333333333336,66.80000000000001,57.36666666666667,70.0,75.13333333333334
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Males,223,30920.2,36060.0,2000.0,22240.0,18279.8,95440.0,7580.0,65660.2,19200.0,73340.0,63840.0,4660.0,72380.0
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Males,239,32.73333333333333,37.99999999999999,29.733333333333334,21.2,18.0,92.73333333333333,7.3999999999999995,62.36666666666667,18.26666666666667,71.36666666666666,65.60000000000001,67.36666666666666,70.76666666666667
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Both sexes,223,88340.0,129980.0,7180.0,71140.0,99199.8,352180.0,42100.2,238800.0,84680.0,272300.0,221140.4,15300.0,275880.2
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Both sexes,239,26.23333333333333,38.36666666666667,27.633333333333336,18.099999999999998,26.5,92.56666666666666,10.733333333333333,60.26666666666667,21.599999999999998,71.03333333333335,61.76666666666667,51.76666666666666,73.03333333333332
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Females,223,40320.0,61500.4,3760.0,32280.0,56779.8,178580.0,27700.0,122320.0,43820.0,141260.0,105320.0,5220.0,144180.2
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Females,239,23.633333333333336,36.53333333333333,28.8,16.333333333333332,29.866666666666664,90.96666666666665,13.899999999999999,60.46666666666667,21.933333333333334,71.46666666666667,57.23333333333333,39.86666666666667,73.63333333333333
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Males,223,47920.0,68200.0,3580.0,38780.0,42260.0,173440.0,14660.0,116900.0,40900.0,131060.0,115700.4,10060.0,131460.0
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Males,239,29.03333333333333,40.36666666666667,27.96666666666667,20.233333333333334,23.2,94.16666666666667,7.666666666666667,59.93333333333334,21.399999999999995,70.4,66.60000000000001,61.5,72.23333333333333
