REF_DATE,GEO,Age group,Sex,UOM,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Current smoker, daily or occasional","Fruit and vegetable consumption, 5 times or more per day","Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
2015/2016,"Abbotsford-Mission, British Columbia","Total, 12 years and over",Both sexes,Number,26020.4,26380.0,1760.0,14140.0,27620.0,83940.0,10800.0,56600.0,20840.0,60400.0,54020.0,4680.0,66560.2
2015/2016,Alberta,"Total, 12 years and over",Both sexes,Number,636150.25,860550.25,43525.0,483250.0,739950.0,2392150.0,222275.0,1712575.25,554050.0,1896875.25,1424100.25,107025.0,1767875.0
2015/2016,Alberta,"Total, 12 years and over",Females,Number,287975.0,344325.0,17100.0,202600.0,456500.0,1176800.0,146800.0,838750.25,280499.75,911175.25,656500.25,50875.25,883700.0
2015/2016,Alberta,"Total, 12 years and over",Males,Number,349375.0,516875.25,26450.0,280975.0,283450.0,1215250.0,75450.0,874150.25,273925.0,985225.25,767250.0,55900.0,885600.0
2015/2016,"Brantford, Ontario","Total, 12 years and over",Both sexes,Number,15740.0,21220.0,1600.0,15160.4,18020.0,62080.0,7800.4,42500.0,12340.0,46580.0,36220.0,3600.0,49160.2
2015/2016,British Columbia,"Total, 12 years and over",Both sexes,Number,559449.75,927600.0,42875.0,425049.75,865400.0,2689125.0,292275.25,1805474.75,594899.75,2025174.75,1801075.25,120575.25,2067800.25
2015/2016,British Columbia,"Total, 12 years and over",Females,Number,254324.75,379374.75,15525.0,171974.75,533750.0,1372050.0,189875.25,909950.0,323474.75,1008549.75,872825.25,53425.25,1077050.25
2015/2016,British Columbia,"Total, 12 years and over",Males,Number,304824.75,548000.0,27300.0,253299.75,331325.0,1316375.0,102975.25,895024.75,270899.75,1017499.75,928525.25,66975.25,991300.25
2015/2016,"Calgary, Alberta","Total, 12 years and over",Both sexes,Number,157979.8,247960.2,9480.0,101439.6,206140.0,672940.0,56540.0,513800.4,160380.0,543860.2,409140.2,27200.0,481520.0
2015/2016,"Calgary, Alberta","Total, 12 years and over",Females,Number,71880.0,96880.0,3219.8,44799.6,131740.0,331500.0,41220.0,254300.4,82040.0,260500.2,189460.0,14940.2,243760.0
2015/2016,"Calgary, Alberta","Total, 12 years and over",Males,Number,85920.0,151500.2,6400.0,57159.6,74740.0,341600.0,15239.6,259180.4,78300.0,283120.2,219800.0,12419.8,238120.0
2015/2016,Canada,"Total, 12 years and over",Both sexes,Number,6979866.666666667,9477800.0,466800.0,5289533.333333333,8837933.333333334,27400600.0,2496100.0,18784666.666666668,6539733.333333333,21233000.0,16054100.0,1163600.0,20046766.666666668
2015/2016,Canada,"Total, 12 years and over",Females,Number,3261733.3333333335,4055233.3333333335,189033.33333333334,2289800.0,5485433.333333333,13920600.0,1608033.3333333333,9399033.333333334,3579966.6666666665,10520633.333333334,7625500.0,492466.6666666667,10293700.0
2015/2016,Canada,"Total, 12 years and over",Males,Number,3723166.6666666665,5419666.666666667,278600.0,3000300.0,3352000.0,13478500.0,889233.3333333334,9378100.0,2960466.6666666665,10717200.0,8426700.0,670066.6666666666,9756433.333333334
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Both sexes,Number,159200.0,236040.2,11020.0,132800.0,196840.0,632260.0,64800.0,449140.2,144180.0,498500.0,368040.0,26700.0,459540.0
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Females,Number,70900.0,90560.0,4700.0,51740.0,114420.0,310460.0,39100.0,215340.0,72420.0,235100.0,165240.0,11700.0,227460.0
2015/2016,"Edmonton, Alberta","Total, 12 years and over",Males,Number,88340.0,145580.2,6340.0,81220.2,82280.0,321760.0,25780.0,233720.2,71900.0,263380.2,202480.0,14940.0,232300.0
2015/2016,"Greater Sudbury, Ontario","Total, 12 years and over",Both sexes,Number,23860.4,25120.0,1420.0,19280.2,21380.0,73480.0,8940.0,49680.0,17360.0,53219.6,41400.0,3300.0,58040.0
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Number,57320.0,68300.0,4480.0,37100.0,53199.8,196300.0,22060.2,138040.2,43480.0,147360.0,124100.4,8960.2,154480.2
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Females,Number,26439.8,32200.0,2520.2,14799.8,34919.8,100760.0,14520.0,72300.0,24240.0,74020.0,60020.0,4360.2,82060.2
2015/2016,"Halifax, Nova Scotia","Total, 12 years and over",Males,Number,30920.2,36060.0,2000.0,22240.0,18279.8,95440.0,7580.0,65660.2,19200.0,73340.0,63840.0,4660.0,72380.0
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Both sexes,Number,88340.0,129980.0,7180.0,71140.0,99199.8,352180.0,42100.2,238800.0,84680.0,272300.0,221140.4,15300.0,275880.2
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Females,Number,40320.0,61500.4,3760.0,32280.0,56779.8,178580.0,27700.0,122320.0,43820.0,141260.0,105320.0,5220.0,144180.2
2015/2016,"Hamilton, Ontario","Total, 12 years and over",Males,Number,47920.0,68200.0,3580.0,38780.0,42260.0,173440.0,14660.0,116900.0,40900.0,131060.0,115700.4,10060.0,131460.0
2015/2016,"Kingston, Ontario","Total, 12 years and over",Both sexes,Number,25260.4,24560.0,1600.0,15340.0,23740.0,79740.0,11320.4,55860.0,22700.0,57339.6,50880.0,3260.0,63840.2
2015/2016,"Kitchener-Cambridge-Waterloo, Ontario","Total, 12 years and over",Both sexes,Number,63800.0,78260.0,3100.0,49000.0,82500.2,233020.0,33420.4,167040.0,57420.0,179360.0,139740.0,10080.0,172540.0
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Both sexes,Number,268279.6,418180.2,19060.0,200199.8,356060.0,1135120.0,106760.0,839840.2,271040.0,904460.2,674120.0,46020.0,824060.0
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Females,Number,124939.8,163940.0,7600.0,83939.8,220400.0,568460.0,72440.0,417280.2,141660.0,439280.0,315860.0,22600.2,417280.0
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Males,Number,144399.8,254600.2,11460.0,116220.0,135900.0,567280.0,34340.0,422760.2,129060.0,466120.2,359260.0,23380.0,406560.0
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Both sexes,Number,244739.6,479560.0,18720.0,204539.8,435100.0,1391160.0,146620.2,933039.8,309059.8,1040379.8,936580.2,58920.2,1044900.2
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Females,Number,110639.6,193279.8,5139.8,79859.8,267060.0,713520.0,96300.2,470380.0,166699.8,518279.8,457060.2,26480.0,545040.2
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Males,Number,134559.6,286100.0,13760.0,124939.8,168580.0,676820.0,50560.0,461940.0,142200.0,521779.8,478640.2,32340.2,500020.0
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Both sexes,Number,85159.8,109540.0,7140.0,74260.2,93459.8,336420.0,34080.0,229500.0,79100.0,254139.8,188219.8,14280.0,247520.0
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Females,Number,40320.0,41899.8,3040.0,33180.0,61180.0,169220.0,22720.0,118360.0,42780.0,124240.0,90160.0,6380.0,124600.0
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Males,Number,44659.8,67720.0,4000.0,41440.0,32559.8,167140.0,11400.0,111420.0,36220.0,129860.0,98280.0,7900.0,122920.0
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Both sexes,Number,44559.8,51520.0,3480.2,30160.0,40659.8,150840.0,18840.2,106780.2,32240.0,112520.0,95940.4,6320.2,117260.0
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Females,Number,19219.8,24880.0,2140.2,12160.0,26419.8,74880.0,12200.2,54740.2,17460.0,55420.0,45280.0,3340.2,59960.0
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Males,Number,25360.0,26699.8,1340.0,18060.0,14339.8,75300.0,6780.0,52140.0,14840.0,57200.0,50800.0,2980.0,57160.0
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Both sexes,Number,997699.6,1468899.8,66500.0,764139.6,1291739.8,4388920.0,413920.0,3047880.0,1109760.2,3413400.0,2597000.0,193060.0,3290080.2
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Females,Number,473899.6,638440.0,29900.0,311299.6,797719.8,2273100.0,256400.0,1539900.0,620160.0,1715340.0,1277140.0,73979.8,1731180.2
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Males,Number,525239.6,829000.0,36759.8,454460.0,492899.8,2115660.0,157940.0,1507860.0,489580.0,1697780.0,1317580.0,118420.0,1558920.0
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Both sexes,Number,530199.6,842000.0,34520.0,464600.0,977980.2,2424780.2,142319.8,1691920.2,640920.2,1930860.2,1388140.2,80239.8,1460639.6
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Females,Number,245119.6,361820.0,15120.0,205420.0,600540.2,1230660.0,92959.8,826680.0,346540.2,946380.2,670560.2,33580.0,744379.8
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Males,Number,285659.8,479120.0,19380.0,259600.0,377640.2,1196000.0,48859.8,864680.2,294080.2,984200.2,717039.8,46860.0,715579.6
2015/2016,"Large urban population centres, Saskatchewan","Total, 12 years and over",Both sexes,Number,50039.8,84560.2,3600.0,44760.0,62340.0,213840.0,18160.0,145780.0,42119.8,162600.0,119540.0,7520.0,156979.8
2015/2016,"Large urban population centres, Saskatchewan","Total, 12 years and over",Males,Number,29179.8,52900.2,2520.0,26440.0,23460.0,110200.0,8660.0,76100.0,17999.8,87760.0,70160.0,4160.0,78860.0
2015/2016,"Large urban population, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Number,28980.0,27980.0,1200.0,15179.8,25900.2,85740.0,11840.2,64600.4,14839.8,69560.0,51820.2,2900.0,67240.0
2015/2016,"London, Ontario","Total, 12 years and over",Both sexes,Number,55760.0,73140.0,3420.0,45960.0,74940.0,237220.0,28120.2,157400.0,56500.0,176180.0,140900.0,10480.0,179340.0
2015/2016,"London, Ontario","Total, 12 years and over",Males,Number,30480.0,40720.0,2600.0,26240.0,29680.0,114540.0,10960.0,78940.0,27740.0,90160.0,73180.0,5740.0,87020.0
2015/2016,Manitoba,"Total, 12 years and over",Both sexes,Number,200425.25,224950.0,15250.0,143975.0,195149.75,692350.0,65625.0,467200.0,155075.0,524624.75,376549.75,33075.0,527225.25
2015/2016,Manitoba,"Total, 12 years and over",Females,Number,91075.25,91000.0,5775.0,65175.0,126999.75,349625.0,41900.0,242375.0,82650.0,259150.0,176499.75,14800.0,265925.0
2015/2016,Manitoba,"Total, 12 years and over",Males,Number,109000.25,133900.0,9275.0,79250.0,68099.75,342600.0,23525.0,224874.75,72175.0,265400.0,199824.75,18325.0,261400.25
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Both sexes,Number,68040.4,73840.0,4560.0,48560.0,59739.8,212500.0,20060.0,148740.0,52740.0,166380.0,128600.0,7219.8,157760.0
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Females,Number,27920.2,29560.0,2280.0,19660.0,34459.8,99680.0,11300.0,68880.0,25860.0,76860.0,55980.0,3419.8,77980.0
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Males,Number,40600.4,44720.0,2320.0,28920.0,25540.0,113560.0,8780.0,80240.0,27000.0,89460.0,72760.0,3880.0,79900.0
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Both sexes,Number,64180.2,83380.0,4960.0,41240.0,72280.0,233939.8,33320.4,154479.8,55040.0,173819.8,148660.0,12160.0,186140.2
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Females,Number,30240.2,35460.0,1920.0,18120.0,47000.0,122600.0,20780.2,75419.8,28840.0,88920.0,69859.8,3900.0,99320.2
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Males,Number,34300.2,47700.0,3080.0,23120.0,25520.0,110899.8,12620.2,79340.0,26240.0,84979.8,79440.2,8240.0,87140.0
2015/2016,"Medium population centres, New Brunswick","Total, 12 years and over",Both sexes,Number,22940.2,22720.0,1940.2,14800.0,20340.0,71340.0,8560.0,47340.0,15000.0,53640.0,40080.0,2460.0,53220.0
2015/2016,"Medium population centres, Ontario","Total, 12 years and over",Both sexes,Number,159520.4,172160.0,10360.0,124100.4,139919.8,501439.6,71160.4,332119.6,117180.0,378699.6,292620.0,22040.0,389060.2
2015/2016,"Medium population centres, Ontario","Total, 12 years and over",Females,Number,82080.4,71540.0,3060.0,54000.4,90219.8,247959.6,46720.4,162119.6,66940.0,185859.8,135160.0,8800.0,197420.2
2015/2016,"Medium population centres, Ontario","Total, 12 years and over",Males,Number,77800.0,100620.0,7400.4,70220.4,49939.8,253740.0,23840.2,170320.0,50580.0,192959.8,157860.0,13300.0,191400.2
2015/2016,"Medium population centres, Prince Edward Island","Total, 12 years and over",Both sexes,Number,5920.0,8580.0,420.0,3640.0,6880.0,22940.2,2560.0,15800.0,3599.8,17740.0,13220.0,580.0,16459.8
2015/2016,"Medium population centres, Prince Edward Island","Total, 12 years and over",Males,Number,2820.0,4520.0,260.0,1940.0,2960.0,10700.0,980.0,7260.0,1259.8,8260.0,6660.0,360.0,7479.8
