Geography,Year,Sex,Stress Category,Prevalence,Coefficient of Variation,CV Flag,Standard Error,Standard Score,Alberta Prevalence
Z1,2001,BOTH,Extremely/quite a bit stressful,25.613500000000002,5.5462,1.0,1.3639000000000001,-0.34333426800000005,26.081740029
Z1,2001,BOTH,Not at all/not very/a bit stressful,74.3865,1.8176,1.0,1.3639000000000001,0.34333426750000007,73.91825997100001
Z1,2001,FEMALE,Extremely/quite a bit stressful,24.5607,8.0176,1.0,1.9525000000000001,-1.003901179,26.520868863
Z1,2001,FEMALE,Not at all/not very/a bit stressful,75.4393,2.777,1.0,1.9525000000000001,1.0039011792,73.47913113700001
Z1,2001,MALE,Extremely/quite a bit stressful,26.677200000000003,7.0442,1.0,1.8139,0.5698388888,25.643537945000002
Z1,2001,MALE,Not at all/not very/a bit stressful,73.3228,2.5944,1.0,1.8139,-0.569838889,74.356462055
Z1,2003,BOTH,Extremely/quite a bit stressful,21.223700000000004,6.5662,1.0,1.3687,-1.551664627,23.347532728
Z1,2003,BOTH,Not at all/not very/a bit stressful,78.7763,1.7808000000000002,1.0,1.3687,1.5516646274,76.65246727200001
Z1,2003,FEMALE,Extremely/quite a bit stressful,21.0417,10.164000000000001,1.0,2.134,-1.578185788,24.409467362
Z1,2003,FEMALE,Not at all/not very/a bit stressful,78.95830000000001,2.9109000000000003,1.0,2.134,1.5781857883,75.590532638
Z1,2003,MALE,Extremely/quite a bit stressful,21.4019,9.0508,1.0,1.9372,-0.461373291,22.295685922000004
Z1,2003,MALE,Not at all/not very/a bit stressful,78.5981,2.694,1.0,1.9372,0.46137329140000005,77.704314078
Z1,2005,BOTH,Extremely/quite a bit stressful,19.8553,6.7899,1.0,1.3479,-1.8437908170000001,22.340503477000002
Z1,2005,BOTH,Not at all/not very/a bit stressful,80.14470000000001,1.819,1.0,1.3479,1.8437908171000001,77.65949652300002
Z1,2005,FEMALE,Extremely/quite a bit stressful,17.7812,10.5781,1.0,1.8921000000000001,-2.09294366,21.741172553000002
Z1,2005,FEMALE,Not at all/not very/a bit stressful,82.2188,2.6235,1.0,1.8921000000000001,2.0929436596,78.258827447
Z1,2005,MALE,Extremely/quite a bit stressful,21.9205,8.303600000000001,1.0,1.8186,-0.559023803,22.937111667000003
Z1,2005,MALE,Not at all/not very/a bit stressful,78.0795,2.4797000000000002,1.0,1.8186,0.5590238028,77.062888333
Z1,2007,BOTH,Extremely/quite a bit stressful,20.8607,8.8559,1.0,1.862,-0.863200674,22.468017665
Z1,2007,BOTH,Not at all/not very/a bit stressful,79.1393,3.6367000000000003,1.0,1.862,0.8632006737000001,77.531982335
Z1,2007,FEMALE,Extremely/quite a bit stressful,21.9218,12.381,1.0,2.7095000000000002,-0.535254711,23.372070627
Z1,2007,FEMALE,Not at all/not very/a bit stressful,78.0782,4.411300000000001,1.0,2.7095000000000002,0.5352547108,76.62792937300001
Z1,2007,MALE,Extremely/quite a bit stressful,19.8337,12.5817,1.0,2.5324,-0.6881281570000001,21.576313517
Z1,2007,MALE,Not at all/not very/a bit stressful,80.1663,4.495900000000001,1.0,2.5324,0.6881281571000001,78.42368648300001
Z1,2008,BOTH,Extremely/quite a bit stressful,20.474200000000003,8.766200000000001,1.0,1.7647000000000002,-0.957246437,22.163359798000002
Z1,2008,BOTH,Not at all/not very/a bit stressful,79.5258,2.6645000000000003,1.0,1.7647000000000002,0.957246437,77.83664020200001
Z1,2008,FEMALE,Extremely/quite a bit stressful,22.768900000000002,13.0177,1.0,2.9842000000000004,-0.34833673900000006,23.808422941
Z1,2008,FEMALE,Not at all/not very/a bit stressful,77.2311,4.216200000000001,1.0,2.9842000000000004,0.34833673930000003,76.19157705900001
Z1,2008,MALE,Extremely/quite a bit stressful,18.163800000000002,12.365400000000001,1.0,2.1988000000000003,-1.093431801,20.568069386
Z1,2008,MALE,Not at all/not very/a bit stressful,81.8362,3.6591,1.0,2.1988000000000003,1.093431801,79.43193061400001
Z1,2009,BOTH,Extremely/quite a bit stressful,19.3103,12.34,1.0,2.2023,-1.852898846,23.390891169
Z1,2009,BOTH,Not at all/not very/a bit stressful,80.6897,2.4078000000000004,1.0,2.2023,1.8528988456,76.60910883100001
Z1,2009,FEMALE,Extremely/quite a bit stressful,14.5341,16.997400000000003,2.0,2.3037,-4.187146950000001,24.180033806
Z1,2009,FEMALE,Not at all/not very/a bit stressful,85.4659,2.8531000000000004,1.0,2.3037,4.187146950200001,75.819966194
Z1,2009,MALE,Extremely/quite a bit stressful,23.9612,16.622600000000002,1.0,3.7492,0.3548031883,22.631003755000002
Z1,2009,MALE,Not at all/not very/a bit stressful,76.0388,4.7173,1.0,3.7492,-0.35480318800000005,77.368996245
Z1,2010,BOTH,Extremely/quite a bit stressful,18.8597,9.379100000000001,1.0,1.7699000000000003,-2.1183266350000003,22.608847298
Z1,2010,BOTH,Not at all/not very/a bit stressful,81.14030000000001,2.362,1.0,1.7699000000000003,2.1183266353,77.39115270200001
Z1,2010,FEMALE,Extremely/quite a bit stressful,18.843500000000002,17.193800000000003,2.0,3.232,-1.342557625,23.182609348
Z1,2010,FEMALE,Not at all/not very/a bit stressful,81.15650000000001,4.0725999999999996,1.0,3.232,1.342557625,76.81739065200001
Z1,2010,MALE,Extremely/quite a bit stressful,18.8753,11.7863,1.0,2.2204,-1.433333635,22.057841147
Z1,2010,MALE,Not at all/not very/a bit stressful,81.1247,3.1107,1.0,2.2204,1.433333635,77.94215885300001
Z1,2011,BOTH,Extremely/quite a bit stressful,20.6934,11.4964,1.0,2.3952000000000004,-1.579633113,24.476881622
Z1,2011,BOTH,Not at all/not very/a bit stressful,79.30660000000002,3.2562,1.0,2.3952000000000004,1.5796331134,75.523118378
Z1,2011,FEMALE,Extremely/quite a bit stressful,17.889300000000002,17.136300000000002,2.0,3.0399,-2.559867165,25.671102996000002
Z1,2011,FEMALE,Not at all/not very/a bit stressful,82.11070000000001,3.7793,1.0,3.0399,2.5598671646,74.328897004
Z1,2011,MALE,Extremely/quite a bit stressful,23.466700000000003,16.452600000000004,1.0,3.9240000000000004,0.0375615421,23.319335074
Z1,2011,MALE,Not at all/not very/a bit stressful,76.5333,5.5619,1.0,3.9240000000000004,-0.037561542,76.680664926
Z1,2012,BOTH,Extremely/quite a bit stressful,23.116600000000002,14.243500000000001,1.0,3.2889000000000004,-0.209922475,23.807014704
Z1,2012,BOTH,Not at all/not very/a bit stressful,76.88340000000001,4.452100000000001,1.0,3.2889000000000004,0.20992247490000002,76.192985296
Z1,2012,FEMALE,Extremely/quite a bit stressful,23.8916,14.2216,1.0,3.353,-0.682704453,26.180773062
Z1,2012,FEMALE,Not at all/not very/a bit stressful,76.1084,4.5661,1.0,3.353,0.682704453,73.819226938
Z1,2012,MALE,Extremely/quite a bit stressful,22.3327,23.8449,2.0,5.321600000000001,0.1486338574,21.541771451
Z1,2012,MALE,Not at all/not very/a bit stressful,77.66730000000001,7.105700000000001,1.0,5.321600000000001,-0.148633857,78.45822854900001
Z1,2013,BOTH,Extremely/quite a bit stressful,19.5782,15.2072,1.0,3.0096,-0.6117646090000001,21.419386529
Z1,2013,BOTH,Not at all/not very/a bit stressful,80.4218,3.9695000000000005,1.0,3.0096,0.6117646092000001,78.580613471
Z1,2013,FEMALE,Extremely/quite a bit stressful,21.426000000000002,19.5141,2.0,4.1725,-0.594661175,23.907216679
Z1,2013,FEMALE,Not at all/not very/a bit stressful,78.574,5.367100000000001,1.0,4.1725,0.5946611754,76.092783321
